Day;Time;Temperature_Standard;Temperature_Cooled;Voc_Standard;Voc_Cooled;Isc_Standard;Isc_Cooled;Power_Standard;Power_Cooled;Weather Condition;Lux;Pmax_Standard_ 15Watt;Pmax_Cooled_ 15Watt;Vmp_Standard_15Watt;Vmp_Cooled_15Watt;Imp_Standard_15Watt;Imp_Cooled_15Watt
1;11.00;41;35;20,5;20,9;2,81;2,6;19,68;19,16;Sunny;4341;33,89;33,48;12,6;12,4;2,69;2,7
1;12.00;36;36;19;21,1;0,53;0,45;14,74;93,57;Sunny;2423;14,74;9,35;18,9;19,9;0,78;0,47
1;13.00;45;40;17,9;19,2;0,26;0,53;16,39;23,25;Sunny;5493;16,4;23,25;8,2;15,2;0,2;1,53
1;14.00;49;37;19,4;20,5;19;1,72;51,33;31,31;Sunny;7430;49,59;31,31;17,1;17,3;0,29;1,81
1;15.00;45;34;18,2;20,4;0,06;1,33;1,28;25,61;Sunny;6445;43,75;50,69;12,5;13,7;0,35;0,37
2;11.00;50;40;19,6;20,7;2,58;2,38;9,81;23,65;Sunny;1475;78,75;65,55;12,5;11,5;0,63;0,57
2;12.00;51;41;19,6;20,7;2,83;2,52;10,07;56,49;Sunny;1011;68,37;56,5;12,9;11,3;0,53;0,5
2;13.00;40;36;19,2;19,7;0,17;0,62;51,14;23,96;Cloudy;1358;51,15;23,96;9,3;16,3;0,55;1,47
2;14.00;41;35;19,7;20,4;0,17;1,34;25,79;73,19;Cloudy;2172;25,8;71,39;12,9;12,1;0,2;0,59
2;15.00;32;29;18,8;18,6;0,19;0,18;3,75;16,91;Cloudy;1055;3,76;16,92;9,4;9,4;0,04;0,18
3;11.00;41;36;20,8;19,9;2,35;2,38;57,95;81,26;Cloudy;1820;57,96;81,27;12,6;18,9;0,46;0,43
3;12.00;45;36;19;19,6;0,75;0,68;19,51;16,11;Sunny;1019;19,52;16,15;12,2;19;0,16;0,85
3;13.00;44;40;23;22,2;0,73;2,53;24,79;15,72;Sunny;176;24,79;15,79;8,7;6;2,85;2,62
3;14.00;49;39;19,7;19,9;2,38;2,07;39,29;36,71;Sunny;2771;39,29;36,54;17,7;18;2,22;19,8
3;15.00;49;39;19,8;20,5;2,19;0,66;41,44;35,13;Sunny;1713;41,44;35,13;18,1;18,3;2,29;19,2
